,roc_auc
181,"[0.7390622321275502, 0.711180277349769, 0.72913595062575, 0.7297764600633115, 0.7041247262220981]"
182,"[0.7268447412353924, 0.7011658814268928, 0.7448731094591131, 0.7021601764248823, 0.7438798534798535]"
183,"[0.7031095473564093, 0.7226559904312579, 0.7257979156489172, 0.7272230331129618, 0.7421068847846433]"
184,"[0.730609678708252, 0.7066156250734481, 0.7401789724631171, 0.7273758412624738, 0.717297525781553]"
185,"[0.7314814814814815, 0.7166326163418343, 0.7242802919708029, 0.7240596043977147, 0.7165918754937057]"
186,"[0.6977728157563267, 0.7119199853854585, 0.713146039294206, 0.7417687225278523, 0.7426420724264207]"
187,"[0.7513333793119303, 0.7438179498882375, 0.699661550755635, 0.704542209955268, 0.7187044626593808]"
188,"[0.7052230474534045, 0.7345340064666175, 0.7124885370355323, 0.7443761669113782, 0.7195915722347113]"
189,"[0.7001616098425607, 0.7479887888169623, 0.7128408759124089, 0.7118329670329671, 0.745123387629636]"
190,"[0.6884666180099398, 0.7419823989942282, 0.7442525790804126, 0.7213734689013296, 0.724098415908325]"
191,"[0.7116528292998882, 0.7547672007321677, 0.7314433610208259, 0.7074986184028738, 0.7109658575317602]"
192,"[0.7094187402799377, 0.7412200847360585, 0.7410772785268457, 0.6856435789238275, 0.7248840935919294]"
193,"[0.7071279892139934, 0.7416889077488303, 0.7147424501019296, 0.723215970747818, 0.7327938517704645]"
194,"[0.7759326278955505, 0.7005332167832168, 0.7164839489514814, 0.7077163286152051, 0.7225341568407262]"
195,"[0.7364620081008207, 0.7022710063787803, 0.7553446390769302, 0.7230274755604622, 0.7032331511839709]"
196,"[0.7393263476594839, 0.7345110406347622, 0.7069899607662127, 0.7183830699658411, 0.7193473112489215]"
197,"[0.719064342698578, 0.7154194811896051, 0.7156372247437519, 0.7454982337018855, 0.7159312343314667]"
198,"[0.7322977375980909, 0.718679636926541, 0.7163533969438267, 0.7249160925631514, 0.7289871738707165]"
199,"[0.7572732393071024, 0.7264542146271347, 0.7038467242382415, 0.7162817283709102, 0.7194899924826161]"
200,"[0.7187131460284426, 0.74251968503937, 0.7169789724061687, 0.7170846620126978, 0.722060293137908]"
201,"[0.7101962675137556, 0.7322773863280206, 0.6982888195167072, 0.7445593923295587, 0.7302100893650189]"
202,"[0.7353527145780666, 0.7276914903237476, 0.7330325518637207, 0.6901705777023843, 0.729929585424296]"
203,"[0.7210241535449622, 0.7353643822393823, 0.7162814288394784, 0.7380023201333513, 0.6997370140109024]"
204,"[0.7318319239861792, 0.6946646991893046, 0.742390913206496, 0.7272234017456949, 0.7245938732884658]"
205,"[0.7270767793362821, 0.7258251369918557, 0.7224250722653278, 0.723677696417058, 0.7227925721333404]"
206,"[0.6728581895050385, 0.7293795129258389, 0.7357224777352573, 0.7392922367593785, 0.7403500109721307]"
207,"[0.7164684776416111, 0.7017370311487958, 0.7361453473016991, 0.7429213483146068, 0.7200515545825315]"
208,"[0.7141304347826087, 0.7354402630617465, 0.7228931241918255, 0.7161033411033411, 0.7317292422867513]"
209,"[0.7105546265328874, 0.7243242470998343, 0.7385687963465365, 0.6955172305469167, 0.7472004176868788]"
210,"[0.7318375322772, 0.7249819015444015, 0.722230461219042, 0.7146643161974632, 0.723744292237443]"
211,"[0.707026409985774, 0.7083185179917508, 0.7319429063615109, 0.7564022975168252, 0.7183331808617692]"
212,"[0.7311376388411771, 0.7387712261938268, 0.689586247086247, 0.7008820512820514, 0.760097744536092]"
213,"[0.6970883216889606, 0.705236009911435, 0.7613239816190444, 0.7185536190605362, 0.7336424656903381]"
214,"[0.7158156290618979, 0.7447696146841072, 0.6598243451463791, 0.7209158415841586, 0.7709824770728055]"
215,"[0.7490876863726411, 0.679459958458343, 0.7088075378436824, 0.7398631840796019, 0.7363116136344787]"
216,"[0.7387365884706311, 0.7531449380040929, 0.6927068764568767, 0.7176102511900841, 0.7200635220975807]"
217,"[0.7153726294326858, 0.7322004840661558, 0.6917690579997358, 0.7408258581066054, 0.7336967054263566]"
218,"[0.736642524877819, 0.7321574589134966, 0.6988049057407101, 0.7334146500709295, 0.7167804207775827]"
219,"[0.7263429414613817, 0.7177451923647984, 0.732102255818106, 0.7441242378445985, 0.703267700285437]"
220,"[0.7150696646830346, 0.7209214938143137, 0.705994049017305, 0.7456316907666685, 0.7301352706897678]"
221,"[0.7040174630241024, 0.7465068042400169, 0.7256652423584735, 0.7460156577659722, 0.6960447538652108]"
222,"[0.7227145819576225, 0.7464569509297944, 0.7208573736441264, 0.7154788518286685, 0.705461187319356]"
223,"[0.7205594405594405, 0.7233537980016853, 0.727154743279761, 0.7186751634889934, 0.7273699155966598]"
224,"[0.7395660972561158, 0.7130599578729203, 0.7205170044658192, 0.7181898575915591, 0.726464420121233]"
225,"[0.748496577845704, 0.7511970802919707, 0.6822004642580797, 0.709302465460101, 0.7234168715882732]"
226,"[0.7222769490571347, 0.7258629845990441, 0.7260162601626017, 0.7146507322193832, 0.7353049550814149]"
227,"[0.6995312993715549, 0.7419720297370475, 0.7319256910347336, 0.7300492055295381, 0.7210300175530877]"
228,"[0.7401785084729828, 0.7003888216574784, 0.7347839580675196, 0.7337585785861648, 0.7068736730360934]"
229,"[0.6754524613899615, 0.7285602503912363, 0.7220922055947437, 0.7276029958251136, 0.7620699641255075]"
230,"[0.7243672505641241, 0.7542112432719782, 0.7054443417247428, 0.7053724262728028, 0.7339459084604717]"
