,roc_auc
217,"[0.6757476601782706, 0.6739472554388992, 0.6682775432932629, 0.6761276402573828, 0.6760331128188699]"
218,"[0.668366537750515, 0.6747365130136375, 0.6771923176067929, 0.6753483135204843, 0.674613835009638]"
219,"[0.6725279484057686, 0.6768093481891312, 0.6764998669036659, 0.6705081005238647, 0.6736890240108232]"
220,"[0.671464758509385, 0.6745158511989557, 0.6749108566387169, 0.6763246782199809, 0.6726899523707858]"
221,"[0.6691698242093239, 0.6788984743967938, 0.6735132595999593, 0.6707979281164508, 0.6777799852508006]"
222,"[0.6724213637110092, 0.6730982135572524, 0.6790231835288015, 0.6726465571730839, 0.6725845752632973]"
223,"[0.6778272376612025, 0.6678486656888083, 0.6724994551052039, 0.6766755329707324, 0.6750134405098499]"
224,"[0.6723802426794336, 0.6745222997127921, 0.6701695634205936, 0.6704246203113495, 0.6824768909761163]"
225,"[0.6754027070778402, 0.674786003050961, 0.6704652277190374, 0.6768158023126911, 0.6726991668384059]"
226,"[0.6721892837992574, 0.6762407625688822, 0.6743671124051115, 0.672440119619983, 0.6747351738143064]"
227,"[0.6753852270219799, 0.6736226116689085, 0.6755906482363513, 0.6777386920703861, 0.6677527963666178]"
228,"[0.6758047757880399, 0.6790727896848482, 0.6744935881861388, 0.6640931103802797, 0.6767319225852858]"
229,"[0.6812911963063825, 0.6748335449286426, 0.6729137414852671, 0.6763915081623084, 0.6644844867954756]"
230,"[0.6732896287252339, 0.6726436697638762, 0.6789818207275374, 0.6790332121170927, 0.6664043298011154]"
231,"[0.6716375596442833, 0.6734579470433473, 0.679118420155723, 0.6757734984195326, 0.6702165666677963]"
232,"[0.675769837531775, 0.6727944689945765, 0.6700571415386504, 0.6772350962239728, 0.6740952822910028]"
233,"[0.6744989843072903, 0.6748878869036296, 0.6743303728939564, 0.6740349148888707, 0.6723601337183619]"
234,"[0.6660048504725188, 0.6760776575123127, 0.6732736313312937, 0.6741118844030024, 0.6803705660012591]"
235,"[0.6704757129744779, 0.6771342627877314, 0.66828001817721, 0.6741982911924916, 0.6798715046806694]"
236,"[0.6690525858201083, 0.6733676172192443, 0.6775488770863788, 0.674042796971014, 0.6762541976779846]"
237,"[0.6741505198971602, 0.6804881278905864, 0.6707196195330951, 0.6690140562985311, 0.6757705207003031]"
238,"[0.6706422943777357, 0.6737875837061106, 0.6738353903390145, 0.6758592731464281, 0.6759957316860785]"
239,"[0.6744956561332133, 0.6773668470629424, 0.6803387971865262, 0.6684154670800042, 0.6694065927578332]"
240,"[0.6734735980800762, 0.6718400999857319, 0.6703169907805404, 0.6737189561707633, 0.6811276961052687]"
