,roc_auc
109,"[0.7511032144184318, 0.7390839836492011, 0.7321395392047566, 0.7483107320937601, 0.7316510555011885, 0.7230882147350761, 0.7368586607018035, 0.7636422946083229, 0.7426604222004755, 0.7641315997949578]"
110,"[0.744332961724266, 0.7539715719063547, 0.742602657004831, 0.7645859546111189, 0.7373596160119298, 0.7242182767137331, 0.7468777669043293, 0.7267813038818212, 0.728435621417587, 0.7688382496854467]"
111,"[0.7774061687105165, 0.7457613340765515, 0.7207357859531773, 0.75, 0.7606249126240738, 0.731977258958945, 0.7550794538422108, 0.7544270469266975, 0.7048091709772124, 0.7119040961834195]"
112,"[0.7577457264957265, 0.6931902638424378, 0.7798332404310665, 0.8061885455985833, 0.7133370613728506, 0.7247425322708421, 0.7348198890908244, 0.765797567454215, 0.7319190083414884, 0.7247308821473508]"
113,"[0.7433574879227054, 0.7468297101449276, 0.7534722222222223, 0.725872594249499, 0.773416748217531, 0.7516659676592573, 0.7481942308588472, 0.7911948366652686, 0.7441050375133976, 0.6576494710843935]"
114,"[0.7603121516164996, 0.7589070048309179, 0.749872259383129, 0.7385479286080432, 0.7112633393913975, 0.7491378908616432, 0.7781699986019852, 0.7725313388321916, 0.6811710704133465, 0.7433477794864626]"
115,"[0.7239293013749537, 0.7707868821999257, 0.7276221664808622, 0.7601356074374388, 0.7056712801155691, 0.7006267766438323, 0.7576075306398248, 0.736427606132625, 0.7378955216925299, 0.8175124656321356]"
116,"[0.7439613526570048, 0.7437174842066148, 0.7157539018952063, 0.7337480777296239, 0.7747448622955404, 0.6898387622908804, 0.7875832983829629, 0.7512698634605528, 0.7525863274150706, 0.7331189710610932]"
117,"[0.7459935897435898, 0.7872538089929394, 0.7827248234856932, 0.7357984994640943, 0.7312899016729577, 0.6788410457150846, 0.7184514655855352, 0.7404352486136353, 0.729111328580083, 0.7758865743976886]"
118,"[0.7704733370494239, 0.6835284280936456, 0.7638888888888888, 0.7455613029498113, 0.7450370473927025, 0.6971666899669136, 0.7322685120462277, 0.7788573558879723, 0.7655063143669323, 0.7495106948133651]"
119,"[0.6991243961352657, 0.7271460423634337, 0.7956963024897807, 0.7495223449368564, 0.7597861037326996, 0.7786010531711637, 0.7425322708420711, 0.7589239945943427, 0.7169369495316651, 0.7069644438231044]"
120,"[0.7667804719435154, 0.762100520252694, 0.7399897807506504, 0.7059974835733258, 0.7138147164359943, 0.7425089705950885, 0.7416585115802228, 0.7515844167948181, 0.7585511906426209, 0.754485297544154]"
121,"[0.7133500557413601, 0.7581289483463396, 0.7597082868821998, 0.7664150239992544, 0.7062537862901347, 0.7593666992870124, 0.7300666387063703, 0.7121953492707023, 0.7651801109091757, 0.7686401975860944]"
122,"[0.7138726309921961, 0.8059503901895207, 0.725752508361204, 0.7476117246842817, 0.7508271587678829, 0.7253017381984249, 0.6925182906938815, 0.7486485856750082, 0.7709469220373737, 0.7525280767976141]"
123,"[0.7586631363805277, 0.7328246934225194, 0.7418362133036046, 0.7203387855911273, 0.7311034996970969, 0.7212358450999581, 0.7563959177967285, 0.7715993289528869, 0.7441283377603802, 0.763910247448623]"
124,"[0.7922705314009661, 0.722245447788926, 0.7749674842066147, 0.77420895661494, 0.7340509809403979, 0.7026189477608462, 0.7061722354256954, 0.6994384640477189, 0.7404468987371267, 0.7903793280208771]"
125,"[0.768986900780379, 0.7474684132292828, 0.7190170940170939, 0.7236124702921851, 0.7325015145160538, 0.7089100144461532, 0.7662169718999021, 0.7361829535393075, 0.766508224987185, 0.7616734237382916]"
126,"[0.813301282051282, 0.746516164994426, 0.7164158305462652, 0.7225406589309847, 0.7036325085045902, 0.7418798639265577, 0.7291812293210308, 0.7463535113472202, 0.7758516240272147, 0.7304161424111095]"
127,"[0.7592089371980677, 0.6847477703455964, 0.7930137495354888, 0.7798243161377512, 0.7566172701430635, 0.7367538095903816, 0.7211659443590104, 0.7439186355375367, 0.7077916025909875, 0.7566988210075026]"
128,"[0.6796729840208102, 0.7426955592716462, 0.6968715161649944, 0.7284472715410785, 0.7441166876368889, 0.756559019525607, 0.7843329139288877, 0.7771214874877674, 0.7762244279789365, 0.7553940071764761]"
