,roc_auc
176,"[0.722922046200014, 0.7020581803801149, 0.7257659292344197, 0.7006908523230346, 0.7589269071252155]"
177,"[0.7491538139437505, 0.746871147090981, 0.7259985577034918, 0.7006122139894684, 0.6987889696630785]"
178,"[0.7194442505873869, 0.7178711005652874, 0.6990718124084024, 0.7447923947993849, 0.7331568339624401]"
179,"[0.6988275525158769, 0.7161700048851978, 0.7045851071254101, 0.7590550584836198, 0.7430186634978332]"
180,"[0.7545711494172658, 0.7367867029567078, 0.6904093097913322, 0.7106779206859593, 0.7261230719045623]"
181,"[0.733303091632354, 0.7358038476748786, 0.7263823946774607, 0.7139545179178899, 0.715285544526772]"
182,"[0.7182607532509828, 0.7226487077488541, 0.7088276688301115, 0.7170971387296705, 0.7508912344470852]"
183,"[0.7183567124944751, 0.709804708400214, 0.7094383185614256, 0.7570716249592245, 0.7211805070133743]"
184,"[0.7432305115500034, 0.7239223486170236, 0.7183130946565242, 0.7276812759215249, 0.7081381937648539]"
185,"[0.7204009351664457, 0.7379149510317072, 0.6985513062088539, 0.7157981499603896, 0.7511184118551657]"
186,"[0.7410874217786773, 0.7028665643101403, 0.7223433828831972, 0.7084789598769746, 0.747067081411063]"
187,"[0.7256496149998837, 0.7176268406727616, 0.7272896457068416, 0.7275822498718486, 0.7220134908430029]"
188,"[0.7181938725661247, 0.714718984809361, 0.7072777816549191, 0.7410235798499464, 0.7394624633021111]"
189,"[0.7596017400609486, 0.7081646776932561, 0.7154372252076209, 0.7073226851204623, 0.7330315951349085]"
190,"[0.7129829948589109, 0.7126718542815269, 0.7426111382510991, 0.7221649424483899, 0.7221911552262454]"
191,"[0.7068939446809501, 0.7487757926815084, 0.7135674738874545, 0.7300200382124049, 0.7154020457616851]"
192,"[0.7669993253774399, 0.7369146486146975, 0.7188074301533022, 0.7027325364648866, 0.6974375553380866]"
193,"[0.6999092748970619, 0.7161002163444763, 0.7128346942098776, 0.7410789179365302, 0.7481621930192459]"
194,"[0.7412124595808036, 0.730755809896015, 0.7137710237978925, 0.7050305233235472, 0.7184427279929169]"
195,"[0.7291913834415055, 0.7433119315141787, 0.72332914602089, 0.713870054522578, 0.7105497693275549]"
196,"[0.7081094284318514, 0.7243992369786214, 0.7284702351873823, 0.7370945757025025, 0.7223367817698868]"
197,"[0.7407704654895667, 0.7330064903342872, 0.7098134319678043, 0.709166317162962, 0.7248561209748823]"
198,"[0.7298805452811316, 0.69550387326401, 0.7398108730546444, 0.74247984528636, 0.7145661494011837]"
199,"[0.7465076651080559, 0.7054981738665178, 0.725303580152139, 0.7235250943660002, 0.7167039470618389]"
200,"[0.7260421755414427, 0.689644543699258, 0.7378771489054831, 0.7152855445267721, 0.7481505428957547]"
201,"[0.7473073254704912, 0.7223724614418312, 0.6888012654988717, 0.7356703481056899, 0.7129526072976373]"
202,"[0.7378044525088979, 0.7202642659408659, 0.7656558959685487, 0.7287967752458178, 0.6681433198191901]"
203,"[0.7604624653965153, 0.7277258240863516, 0.7201828459766906, 0.6791934619506967, 0.7292278298149961]"
204,"[0.7093307278944797, 0.7358968990625072, 0.7089643380556911, 0.715116617736148, 0.7463768115942028]"
205,"[0.7405087584618606, 0.7329367017935655, 0.6969519854839837, 0.7069353185143761, 0.7336752644578033]"
206,"[0.7270163072556821, 0.7138001023565265, 0.7109416800428037, 0.749647583764388, 0.7192494990446899]"
207,"[0.7266819038313909, 0.7258240863516877, 0.7159344685602624, 0.7270288690060114, 0.7237843096136819]"
208,"[0.7269232558680532, 0.7328669132528439, 0.7351961057994278, 0.706585814809637, 0.7083566335803159]"
209,"[0.7077168678902923, 0.7206800893293321, 0.7244428548165723, 0.7338150659396989, 0.7360955776131227]"
210,"[0.7396305859911136, 0.697556819503571, 0.7110347314304323, 0.7298947993848734, 0.7400915699706417]"
211,"[0.7180019540791401, 0.73456510107707, 0.722965664037965, 0.7398702176243068, 0.7019432405983503]"
212,"[0.7251145695210179, 0.7255827343150254, 0.7210144927536232, 0.7056771051773149, 0.7308180716715598]"
213,"[0.6940412217647196, 0.7185137367110987, 0.7277549026449858, 0.7245939931963279, 0.7503116408033925]"
214,"[0.755219601274804, 0.7115406983506642, 0.7106625258799172, 0.7180466237942121, 0.7166922969383476]"
215,"[0.7157454579291413, 0.7220845837113545, 0.7317677437364785, 0.7138613169299595, 0.7298132485204342]"
216,"[0.7053585967850746, 0.7414945215995534, 0.6853729034359224, 0.7346742625471829, 0.7532096090218555]"
217,"[0.7116599204410636, 0.7013428478377185, 0.7380080024193361, 0.7422672305326437, 0.7238600354163754]"
218,"[0.7521750761858236, 0.7085892246493125, 0.7393398004047735, 0.6838302111002377, 0.7378838715690388]"
219,"[0.7146521041245028, 0.7188946658292041, 0.720336962337451, 0.7237522717740809, 0.7396546903397175]"
220,"[0.7005257403401028, 0.7094383185614256, 0.718929560099565, 0.7213028333100331, 0.7613938207745001]"
221,"[0.7540390117942634, 0.7227679298392536, 0.69564926605718, 0.7287239619739968, 0.7159612516892679]"
222,"[0.7065479098332055, 0.7362516574778423, 0.7134278968060112, 0.7217338878792117, 0.7415012349130901]"
223,"[0.7308488612836439, 0.7106043687626491, 0.7597762114127528, 0.7047276201127732, 0.7126904795190828]"
224,"[0.6754454835182729, 0.7184090539000163, 0.7310291483471747, 0.7284618341954425, 0.7510572487068362]"
225,"[0.718551538837323, 0.7418550957266151, 0.7251552795031055, 0.7202222843562143, 0.7131710471130994]"
226,"[0.7221689115313933, 0.7294356433340311, 0.7587555540046993, 0.7188038818211473, 0.6958822638519968]"
227,"[0.7306191406704353, 0.7462837602065742, 0.7264899853444062, 0.6956463488512978, 0.7186116547835407]"
228,"[0.7040529695024077, 0.7128317863540139, 0.7215204596738548, 0.7447428817745466, 0.7341383568665828]"
229,"[0.7233727638588411, 0.7189208365319747, 0.7241811477888663, 0.7273375972785312, 0.7249842723332869]"
230,"[0.7030991927792123, 0.7302149487054226, 0.7399708051271313, 0.7060207838203085, 0.7382013374341768]"
231,"[0.7311105683113499, 0.7177576941866144, 0.7285109451694699, 0.6911697888997623, 0.7456457663451231]"
232,"[0.7247917975201805, 0.7280863982134134, 0.7039657338265056, 0.72912880376532, 0.7301161517312084]"
233,"[0.7123897922627772, 0.7578308558401377, 0.7185893409635471, 0.7047858707302297, 0.7226134722028051]"
234,"[0.74207318491637, 0.6989874845883639, 0.7415177844464605, 0.726361899436134, 0.7086886620998183]"
235,"[0.7591074045641706, 0.7153819759462163, 0.7225556563612253, 0.7082896453702409, 0.7147292511300619]"
236,"[0.7166381696792054, 0.7284237094935678, 0.7106828808709609, 0.7269123677710984, 0.7406799012069528]"
237,"[0.6946576872077603, 0.6968676576639449, 0.7657896573382652, 0.738332401323454, 0.725453189803812]"
238,"[0.7305987856793913, 0.7381388559331892, 0.7062862028054991, 0.7218387389906334, 0.7204203364555666]"
239,"[0.716629446111615, 0.7192377928210855, 0.7456294926373088, 0.6990540099725058, 0.7435167062770864]"
240,"[0.7107061437178683, 0.7479935794542536, 0.7089585223439646, 0.7339461298289762, 0.715739899342933]"
241,"[0.7119768767301743, 0.7292931583967246, 0.7347046781585131, 0.7411779439862063, 0.7052285754228995]"
242,"[0.703663316816712, 0.7603374275943889, 0.7087636960011168, 0.7244134162822126, 0.7208280907777622]"
243,"[0.7248208760788145, 0.726574313164445, 0.7250796752506572, 0.7309811734004381, 0.7150350668717089]"
244,"[0.7157890757670924, 0.69406739246749, 0.7138902458882919, 0.7655004893051867, 0.7263211240039144]"
245,"[0.7213983297275921, 0.7245533533393818, 0.7346930467350596, 0.723528006896873, 0.7197155039843421]"
246,"[0.7062135064089143, 0.717280805825017, 0.7377462953916301, 0.740979891886854, 0.7136749149540986]"
247,"[0.7119652453067206, 0.742762346755996, 0.7305493521297137, 0.710835197353092, 0.7194970641688803]"
248,"[0.710755577267546, 0.724940098169214, 0.7297729546141857, 0.7437322335616757, 0.7140506314366931]"
249,"[0.7420644613487798, 0.7442453532463302, 0.7219013887919603, 0.7162961927396431, 0.6946881261941378]"
250,"[0.7378509782027125, 0.6932008514201968, 0.7592004559517995, 0.7016898504124144, 0.7251269863460552]"
251,"[0.7302934608137343, 0.7283829995114802, 0.71078465582618, 0.7100517265483013, 0.7442215387483107]"
252,"[0.7349053202130876, 0.7197059576150929, 0.7103281224556262, 0.7418420010252108, 0.7165524954564519]"
253,"[0.7466210714867286, 0.7338875706608976, 0.7166149068322981, 0.7063615499324293, 0.7091750547555805]"
254,"[0.723553050922372, 0.7099035754995696, 0.7307034684904737, 0.7234930565263991, 0.725604641409199]"
255,"[0.7030061413915835, 0.7557837253123039, 0.7145386977458301, 0.7121603989002283, 0.7346975627941656]"
