,r2
75,"[0.07962894890483174, 0.14878965984259274, 0.22223132574562854, 0.13256122196527842, 0.16783070624478935, 0.15767209466782273, 0.13871987358964277, 0.2000137589347899, 0.13527913618647913, 0.16285866476332123]"
76,"[0.13180923746927198, 0.17740022551891477, 0.13500295620283498, 0.16621771200673574, 0.2185262655004242, 0.1133074266097136, 0.14796977446010173, 0.16676761047370336, 0.12197645560563297, 0.14645216963649144]"
77,"[0.1611005394680074, 0.1632376872292387, 0.14802097959497884, 0.10569108912502634, 0.19128475860336525, 0.20515920280398992, 0.2026597351062761, 0.12643392359086147, 0.1107149412969416, 0.11433352065288316]"
78,"[0.1687653932219657, 0.22125701400306896, 0.18333276708932056, 0.13450191717585847, 0.1593559644576642, 0.18055800943369893, 0.15630145073211654, 0.07571094699004344, 0.10885349069984929, 0.13782951534178567]"
79,"[0.14770033024158635, 0.1401516936743903, 0.14257216377014004, 0.09716586240182601, 0.21957810980564652, 0.20099894764617154, 0.1298454707360488, 0.13583266698535745, 0.1277168791737735, 0.20029866697070653]"
80,"[0.11364642870001962, 0.16893764699268432, 0.12310211995755982, 0.18939584961646927, 0.13323394241660025, 0.13662383411366985, 0.1740846642264432, 0.23694672089655422, 0.09915477237044268, 0.16431137348201352]"
81,"[0.19532352837062794, 0.1328894905442285, 0.17705446774603695, 0.2009997732475457, 0.1419250957168342, 0.1817782116021689, 0.15656545556291568, 0.09078552419908725, 0.1417887910517054, 0.12756882982228024]"
82,"[0.15033408345197619, 0.08472911437732122, 0.21004929763024915, 0.17098777998194337, 0.1673125047134889, 0.19894429872502428, 0.1315759720615165, 0.06464786807860745, 0.16109056730365579, 0.19218426021121715]"
83,"[0.1961693786084434, 0.15124148929975711, 0.10977042982704155, 0.18339205019816074, 0.18915961116405378, 0.18083528358807333, 0.15079942684896108, 0.09929697295449158, 0.14557017853188392, 0.1281717218240952]"
84,"[0.19835477187737438, 0.11495104815378232, 0.16462246084396293, 0.1899201299722717, 0.11662594780335345, 0.16109654376502036, 0.1801763232675987, 0.12425135403848875, 0.12349896327921828, 0.1513561739933561]"
85,"[0.13160587375207233, 0.18305617380887496, 0.16318663100816522, 0.14319637693606446, 0.17491083191333612, 0.16904704854218, 0.11116594217081999, 0.17877532223738302, 0.19555183633774875, 0.10518684579640991]"
86,"[0.11553162555592278, 0.12284092631213683, 0.12283374008168801, 0.22581776569854983, 0.13809239313850408, 0.18363893887913363, 0.08413790627884477, 0.17873831300545262, 0.18909426310398314, 0.18318972770810638]"
87,"[0.2191834467413204, 0.12067042410332462, 0.14875234455152986, 0.1287444071699435, 0.14091794865338536, 0.2556037702772358, 0.12138446855858687, 0.10819945699393163, 0.14657510334539325, 0.1456578841810462]"
88,"[0.1815470091940904, 0.10800063871304322, 0.14078674345426034, 0.18126472577759478, 0.12487782411723025, 0.16556734183566124, 0.17742999245524116, 0.1744619443458657, 0.10919716172510707, 0.16709590180083544]"
89,"[0.09166482539696841, 0.17709372216275854, 0.14255479194744558, 0.13020484884547046, 0.16475482183391987, 0.1597151311711551, 0.15512642036162672, 0.21833629150043277, 0.13697833656915215, 0.16137200214223535]"
90,"[0.11432848790082628, 0.16974393944837685, 0.11888515305257774, 0.1500513268311494, 0.1878744347789334, 0.10733523689525537, 0.15916816743039897, 0.15960244720073224, 0.18342556171045699, 0.19959433365780077]"
91,"[0.11241188335833818, 0.1483835883860012, 0.12134759693687602, 0.1381651621707748, 0.21003091556424514, 0.24568236837669466, 0.1567828211965765, 0.1643676718175966, 0.08400936236550982, 0.1464059294475255]"
92,"[0.16957638303606004, 0.21172567850569368, 0.062429036062995324, 0.1524733916401887, 0.1807646955679626, 0.16445362478177306, 0.12223874503261589, 0.044371635508924534, 0.18212713149679016, 0.224937503776925]"
93,"[0.12638116730968696, 0.15170408741959218, 0.17398187900534934, 0.20460313196041469, 0.10889997641014437, 0.1501627124279724, 0.1450757910996595, 0.08969887368093543, 0.1806238299302173, 0.21230675288074408]"
94,"[0.1451590940459524, 0.20439069109769814, 0.05684017540391073, 0.1810299760058235, 0.15134371086811582, 0.1669444168806441, 0.17498627784524978, 0.16682746352944067, 0.1283907085148468, 0.15049956313356583]"
95,"[0.22851541478031168, 0.14781097589119718, 0.11971870258072081, 0.13780871614567902, 0.0991572322003419, 0.1558530094752909, 0.1978937167566266, 0.15544834588877665, 0.11708294936608732, 0.15548919883028567]"
96,"[0.17961506807845018, 0.08441002775112383, 0.1593565726858166, 0.17763920290072754, 0.18500565053528595, 0.06912965757891665, 0.17283874206463623, 0.19567798271977122, 0.1576612355004754, 0.15330973900871625]"
97,"[0.168323073648862, 0.13953322477193142, 0.1521376436382389, 0.13783053690832836, 0.1318220625140939, 0.15198686421214092, 0.10893575521989562, 0.1731611389163773, 0.16859485564456722, 0.1786638033689264]"
98,"[0.15982559771079263, 0.1437011069958879, 0.187530667477113, 0.19805040834401322, 0.1770052437341595, 0.1823118169437704, 0.1347033222830437, 0.1360134588291647, 0.08061056845461212, 0.15110525883461057]"
99,"[0.09208837625820365, 0.1675336147517562, 0.1983507622063433, 0.19527128046155984, 0.17005491737628597, 0.16686921516237563, 0.17166614233946131, 0.10371298794472494, 0.11099652450654374, 0.18547771827149506]"
100,"[0.17296489439304963, 0.17891521448004366, 0.05387619468305549, 0.24217582774468738, 0.17203194340783823, 0.11632616632172521, 0.13920484762800245, 0.14221363859168312, 0.16734185271294522, 0.149355125524405]"
101,"[0.1802342259366766, 0.1570497923407419, 0.11900257820348037, 0.20904955920132928, 0.11322207965940634, 0.13290285297660442, 0.1647047504044894, 0.1858151773651281, 0.1484130005330221, 0.1278718142471127]"
102,"[0.13510851259706258, 0.12061462913033572, 0.21763197839031145, 0.1571660431281391, 0.15115799303384891, 0.18768122274908083, 0.15241521756386245, 0.12833667979295793, 0.14753916539661704, 0.14647070373864213]"
103,"[0.18953240418687867, 0.19202251256032776, 0.23367685509260616, 0.1725762594607252, 0.059322358418717025, 0.11999302135652035, 0.1524178482865407, 0.12689056369697294, 0.19331095393964381, 0.09466356218508476]"
104,"[0.07949817965370354, 0.17358632685195974, 0.12209593351280157, 0.20030343635578274, 0.1472335329551684, 0.12658482017257366, 0.1317473419123213, 0.17134554956919013, 0.15169834860548592, 0.22469050262838508]"
105,"[0.1888878104101438, 0.1480184061409332, 0.13802859477878526, 0.1337052042646174, 0.1611183476467024, 0.0908558131044035, 0.21583812553116966, 0.14713605149907605, 0.14339493428211636, 0.16510701509729608]"
106,"[0.19496278420106405, 0.1557203444812304, 0.16512145491301156, 0.14505800658967438, 0.14313816650411926, 0.1308342178282299, 0.1344507483250893, 0.18908922098783454, 0.1427107073672036, 0.1305248266191077]"
107,"[0.18755903021769849, 0.14673077920236133, 0.21966145479875698, 0.12102911984746112, 0.12870079828490089, 0.12973115142891656, 0.07315227957873005, 0.1593836799157834, 0.14687884870049617, 0.21398302154518434]"
108,"[0.1563395848603747, 0.16638491331228145, 0.12776879826395138, 0.14487765467546743, 0.1540808727912022, 0.1165064185210859, 0.2079543328393153, 0.1373290264339443, 0.14618870787635185, 0.17651295978039316]"
109,"[0.1636028022071082, 0.1929954777592453, 0.1630713759077157, 0.18846044453227584, 0.15333800977889922, 0.13115787083995245, 0.11994169651110798, 0.1254993029280277, 0.16123882485915386, 0.13832587092532467]"
110,"[0.1545174668836743, 0.09971917174214162, 0.1292693256896279, 0.18734733372099466, 0.16516788106142377, 0.17861652042899623, 0.10259950262896989, 0.15691357483937107, 0.17543208254539833, 0.1668304475336504]"
111,"[0.19587708881118493, 0.16168902429324217, 0.14686610612833984, 0.1213623133687105, 0.1453914389066603, 0.1662914394992525, 0.20436697174032015, 0.14040998583954556, 0.15821743700625368, 0.09280846880237903]"
112,"[0.1441911665820308, 0.20167407954032068, 0.1609937359530409, 0.0877465188923835, 0.1555572451143078, 0.13749541709451862, 0.24202432439104105, 0.10308748258197054, 0.16705261767968016, 0.1195757260274567]"
113,"[0.16486382264737798, 0.1610048598265642, 0.1100629303434566, 0.21166344408503435, 0.09566288189377159, 0.18888194803306668, 0.11594411048705788, 0.179448988714611, 0.16163339518542863, 0.14405085493106684]"
114,"[0.1437073206587911, 0.15089499521619687, 0.14590829157182683, 0.17182825179974326, 0.20514272961716673, 0.14936758021250995, 0.15473304861822046, 0.11976789922670172, 0.19709029125615118, 0.10679578676851753]"
115,"[0.17408843903844562, 0.17006076177982998, 0.08563340579124112, 0.07407405635713071, 0.18665718723313174, 0.18325800159370775, 0.12964585508758575, 0.17013744845557788, 0.14642933092004262, 0.1867983130015245]"
116,"[0.17058350073593798, 0.1517286455919018, 0.19988245031938823, 0.17571829572750142, 0.16402921267504877, 0.12607133532130121, 0.08976301195367775, 0.1277365700403349, 0.1676787174509543, 0.1528540887201505]"
117,"[0.12409432086452665, 0.08526561718595638, 0.16482976078846046, 0.1408717268054689, 0.1099994973075169, 0.21608035477696996, 0.22187650795744684, 0.13508326321306052, 0.13243169547451383, 0.214697009191002]"
118,"[0.20174348668413977, 0.17449910869141627, 0.11548452089321282, 0.11977980133251143, 0.12222158919990711, 0.18608884693109318, 0.14632653482269342, 0.14712760880828069, 0.15443319735504046, 0.1566120508560256]"
119,"[0.1590355670808845, 0.09770910491213891, 0.2009050928469701, 0.19091938564832822, 0.13133654936674077, 0.1418852199164241, 0.15103455962228873, 0.07522703363552641, 0.17876105594361602, 0.20501340941668544]"
120,"[0.17867818995641271, 0.15889614241930694, 0.14972186496093576, 0.049742267395871065, 0.13142273968176743, 0.16258834611479767, 0.11967473331763223, 0.20148991000088723, 0.23398669371509218, 0.15188296653946787]"
121,"[0.09648884652843881, 0.14497528346748156, 0.189302491144536, 0.19817334811554121, 0.18413290271427607, 0.1641209626197041, 0.2094097533169158, 0.13059112558031827, 0.06604505531895388, 0.14726703919072448]"
