,r2
229,"[0.036518318825629725, 0.03225425291311368, 0.02907860036983745, 0.03243706978605676, 0.031135037884805317]"
230,"[0.03149510635273689, 0.033013733493298725, 0.03242648608817966, 0.03572310439936566, 0.028825609849198464]"
231,"[0.032184513274428506, 0.03079419466608424, 0.033740289790240685, 0.03422172823651359, 0.030800139634979073]"
232,"[0.0343877093228111, 0.03293720377853515, 0.026183267377689834, 0.035508289900806456, 0.03245159716955048]"
233,"[0.03498666785178195, 0.031475137951884724, 0.03157559625629647, 0.033150979623818855, 0.03052920295844197]"
234,"[0.029252571933938043, 0.03301047292269543, 0.03429578774940267, 0.03065489654629172, 0.03432257345085854]"
235,"[0.03184651422754059, 0.03226595095334528, 0.030116434695222627, 0.03388285253575818, 0.03356489995042622]"
236,"[0.03260777095005085, 0.031924684640705414, 0.030610950187068386, 0.03587201975554788, 0.030541069411810007]"
237,"[0.03189651167177043, 0.03684321284505798, 0.031030137885310727, 0.02947544675490521, 0.03232391804835033]"
238,"[0.03170680988743946, 0.030939266480334626, 0.03380589394671707, 0.030468806457852327, 0.03470877900047531]"
239,"[0.031657568069296316, 0.03339211180928914, 0.03417591538347853, 0.030917418795174623, 0.03148526151468434]"
240,"[0.031581849682416285, 0.03217169035594525, 0.02975096901938612, 0.033214628204065066, 0.034912097085838534]"
241,"[0.03416252542167586, 0.032114446755280635, 0.03005590527514257, 0.031517137504863624, 0.03379249447483812]"
242,"[0.033779886699907724, 0.030240247227697692, 0.032949763927768494, 0.03129869075805691, 0.03331807465756664]"
243,"[0.03210423685726349, 0.029408436949013406, 0.03208196956628129, 0.035846180220866275, 0.03201471731249372]"
244,"[0.03272905993656494, 0.029826696321228807, 0.03285549449861647, 0.03292703740003722, 0.03331029378260375]"
245,"[0.02769499874058645, 0.03313227286652243, 0.034921227054385606, 0.032540432149379295, 0.03325216439654921]"
246,"[0.034014115414900514, 0.032580372553797865, 0.028198173466708276, 0.03482961950517005, 0.03186597859581475]"
247,"[0.03003026311484913, 0.03541892156012583, 0.029080741520719378, 0.03393632715816142, 0.0331145657180244]"
248,"[0.034638780404747105, 0.032588166028915566, 0.03380291705153682, 0.03173478502633631, 0.028828908285458144]"
249,"[0.032731209856631804, 0.032488544640775, 0.031802581168821065, 0.03167911809417889, 0.03297029462512546]"
250,"[0.03453851589924972, 0.031815591136702404, 0.03147418227274412, 0.030075870081815892, 0.03356962425541321]"
251,"[0.032976243903003244, 0.03488626929243155, 0.032490240737762965, 0.0325533485669498, 0.028591910310026614]"
252,"[0.03418893766754427, 0.03290713605540052, 0.031207068758677403, 0.031386153418710094, 0.03199620028680683]"
253,"[0.029644847516084427, 0.035236726445864064, 0.031033433596836413, 0.03230901834892397, 0.03331432897389075]"
