,r2
122,"[0.14089175750751792, 0.24263042393327883, 0.1507046259162167, 0.1898380932483179, 0.16210139151827752, 0.15984303737287642, 0.10914573300213226, 0.193885748278937, 0.20999939027063297, 0.17042318988679817]"
123,"[0.1706524441919246, 0.15885378664470728, 0.1569491357059053, 0.13741128805770209, 0.15021895133487428, 0.16288857856498062, 0.19061309577647756, 0.21507510818140219, 0.179597557151028, 0.2099180684569093]"
124,"[0.22218257769361727, 0.1308185753984037, 0.22849285032880395, 0.20779360166813332, 0.1450880136571694, 0.1298910498679725, 0.13255623829274743, 0.13775398296778463, 0.15894706092181776, 0.24004019277564503]"
125,"[0.20715791490004487, 0.16109851828254163, 0.15899512877725563, 0.16524409979040433, 0.1803484815167402, 0.10137453070704072, 0.20088764483005872, 0.1652623401967428, 0.21040307516889145, 0.1808305847695082]"
126,"[0.2631094956936426, 0.17319581943387052, 0.15466967667621145, 0.14131987842272242, 0.1285794042779359, 0.18390767297535782, 0.15235302961994024, 0.16691928969922776, 0.20336600983242192, 0.15488640533395137]"
127,"[0.20677056880797173, 0.04905188124459803, 0.23754305640603168, 0.24599387376318704, 0.17364034517060178, 0.16689747176670178, 0.1413323934103713, 0.1939316548764618, 0.11677429637769554, 0.2004023892626844]"
128,"[0.09599628804685223, 0.1689223250386266, 0.10404985874427997, 0.14660659269462262, 0.17890663411686392, 0.17328783982252605, 0.2199416851471575, 0.20679583918821787, 0.2262923819307454, 0.21084269547194046]"
129,"[0.13677356092601223, 0.12421593816834064, 0.16265230438819123, 0.21985796473002794, 0.18192670448510573, 0.1516424478673829, 0.17553975803168598, 0.19525644499733985, 0.19914642024553508, 0.1869167761408772]"
130,"[0.20114432898570977, 0.19985755732741495, 0.10723039589749594, 0.12090896631639714, 0.18018571868376343, 0.2631186609317069, 0.2181376609159117, 0.1581652880163369, 0.17277067032888815, 0.10591633857426797]"
131,"[0.1287847902846223, 0.22198601210469815, 0.18714633117638468, 0.21696626884622305, 0.20204574641079476, 0.1775865969721152, 0.06889812837541287, 0.15910655908365012, 0.14867622692361027, 0.21657750514141283]"
132,"[0.18268109853609205, 0.16397032418539803, 0.1792680380378402, 0.18013674866664653, 0.171738915958506, 0.16050769622926742, 0.13187899690963656, 0.14282648768193318, 0.18732269159783554, 0.23857836996562698]"
