,imv
110,"[0.11230936716691706, 0.07526774169814734, 0.17490424295839754, 0.15185751053956195, 0.11948639022117458, 0.1412006246293424, 0.06841379553305607, 0.13682054938455848, 0.13139650534843406, 0.13981471967122314]"
111,"[0.1483326514356096, 0.18590433308506535, 0.07947434157697737, 0.08834939688439374, 0.11336754800441322, 0.14873564676248685, 0.1470132228018841, 0.12134387681514054, 0.12160863566771132, 0.07597886261190488]"
112,"[0.11744810911476491, 0.19008156509444865, 0.10872060800479992, 0.07550568351009194, 0.1598490368973035, 0.1069975113353556, 0.16571331265916314, 0.08378700412994476, 0.12516154854088204, 0.09022904632140621]"
113,"[0.11085893892018887, 0.1205791614236089, 0.10340339079931347, 0.16714565805687867, 0.09586346766594461, 0.10795220234135518, 0.11029524831332914, 0.12302075063760587, 0.15832805003084255, 0.11177724498757616]"
114,"[0.11823399457500723, 0.13109472246190532, 0.10763740242931501, 0.141405000317928, 0.12717951237651146, 0.09727770028144729, 0.15258991450027246, 0.11725526442581216, 0.11662240411339485, 0.09261193124374689]"
115,"[0.15641635478764013, 0.11129761383081373, 0.08746549168074486, 0.07329435272721889, 0.15270783817997385, 0.1099115669793491, 0.10028257656097501, 0.16770854426151194, 0.09750923168212623, 0.18293446080567963]"
116,"[0.12473966774509175, 0.1582903376359743, 0.1516731119625086, 0.17101582030196388, 0.0963208073933968, 0.08656217310675232, 0.07570219916949342, 0.0964820695842823, 0.14367766308426366, 0.12351434574112893]"
117,"[0.08286543137741936, 0.0784940270964895, 0.11515290102341426, 0.11476091806155288, 0.10312676932444033, 0.1390129445096348, 0.15404823007440593, 0.13148614443690604, 0.10283238849648844, 0.17487818975495154]"
118,"[0.19100145745008462, 0.14827979697777288, 0.11087476180593986, 0.08407404890265896, 0.08260320117918642, 0.12834508390760835, 0.1124550514264175, 0.1229582345009099, 0.12779848560246612, 0.11596838404267061]"
119,"[0.12206298359384984, 0.08647734037013084, 0.12557223650201463, 0.127581571623809, 0.144905071690826, 0.1093292170740032, 0.08514510231152696, 0.06104867734412978, 0.19173735782404097, 0.1465888293533246]"
120,"[0.14876677317688822, 0.11196540110844459, 0.138810881928495, 0.06084962076330582, 0.08653138969932189, 0.1309886220718025, 0.09102049160302793, 0.1279682948826978, 0.16406244810748033, 0.1258543578230019]"
121,"[0.0954595137899097, 0.12436476950599053, 0.13606639817374067, 0.15170987035715325, 0.1182996814253567, 0.10820539590952759, 0.13363446367085235, 0.13223199431907326, 0.06151819020186231, 0.13528580067306858]"
122,"[0.12285236023157779, 0.104362559874875, 0.16761837582005853, 0.10849839030380691, 0.09523012469807345, 0.11514867069000975, 0.13766924125771013, 0.14622450269712242, 0.12083203031238823, 0.09618838622918467]"
123,"[0.08739712742269959, 0.14319256764671043, 0.11400201192300848, 0.10091677043172552, 0.08397726777577288, 0.11449176865813036, 0.1760966613453626, 0.1250221104612052, 0.1487422331870112, 0.10736521755825673]"
124,"[0.08555646580201, 0.17437374188349208, 0.09607556175614194, 0.12030348362476431, 0.1378867879972117, 0.1403275154942732, 0.15549720023238073, 0.0958605604480501, 0.12545094486785896, 0.09788244614725161]"
125,"[0.11093775257526896, 0.1300572559532285, 0.08922378526287564, 0.10021524812272116, 0.1461487397761343, 0.07331598710476463, 0.20006522625332981, 0.12664044152389706, 0.0870823046383071, 0.18498067481837546]"
126,"[0.1400252070745475, 0.16694457770385898, 0.12112521872732056, 0.11742566903136165, 0.09902387591072187, 0.09461551220085167, 0.14548541824059524, 0.11063706508642411, 0.07690339396983528, 0.13924263515640356]"
127,"[0.09315217277266519, 0.08880513708288479, 0.14837481678568112, 0.13099872931500975, 0.12088327852612697, 0.1520600886253234, 0.09035672748236856, 0.16305283802121476, 0.12353269200378739, 0.10508342530968455]"
128,"[0.1387202544728557, 0.11494056177518507, 0.06359931966062146, 0.12934640852218263, 0.08105932197031235, 0.11122710098741868, 0.10457878301378061, 0.11464982082203591, 0.17779855424489815, 0.17963270540875229]"
129,"[0.12852747362930833, 0.11549430327553155, 0.09081358511716496, 0.1474766690688423, 0.09516953491319864, 0.10584334486882195, 0.1840718867981484, 0.1421639898403225, 0.10316535008350378, 0.10496585206237923]"
130,"[0.10421202453297315, 0.10081117680291461, 0.13705421233464984, 0.14125259513838426, 0.10058951327397977, 0.12593529524214964, 0.1408415022808134, 0.11071033609063373, 0.13589306210712532, 0.12215530671520572]"
131,"[0.05677101985804638, 0.13224529461550927, 0.16610531596155073, 0.16610638205591172, 0.14961690527086463, 0.11506357235882542, 0.11946832435298736, 0.13092544558232144, 0.07694540015103021, 0.10236884395850954]"
132,"[0.1216260346208773, 0.10184530101563875, 0.13005274306436185, 0.08404656958450288, 0.133015307665974, 0.14671327835093226, 0.1257051907248505, 0.13247266677729802, 0.09382258934416049, 0.1668835073276197]"
