,imv
117,"[0.08286884994232184, 0.06508905288378522, 0.10090917440932821, 0.10855430610260733, 0.07956144399329751, 0.13147541931449452, 0.14845922552359758, 0.11027309165567764, 0.09664358185790402, 0.15815151445215603]"
118,"[0.17634417978786576, 0.16411810953727674, 0.08145785552521125, 0.07583545841727098, 0.07814296692572689, 0.12080053322672751, 0.10125653444903446, 0.10066041565826137, 0.11515029385381942, 0.104474083329224]"
119,"[0.11677337491110311, 0.07002685364960666, 0.1172487924027087, 0.12443817808394846, 0.12070275344180123, 0.10315547599622277, 0.09062905483427654, 0.05404407093770185, 0.17039759412817587, 0.12480185981881406]"
120,"[0.148026112658277, 0.10247961787844889, 0.11989026702648797, 0.04225536466275493, 0.08612766495336838, 0.11642326175000489, 0.08786911341725843, 0.11613080142297569, 0.1534895680071423, 0.10306949552084545]"
121,"[0.0902092644704134, 0.10559662132328806, 0.11683080697695204, 0.12849739014331146, 0.12510841406694953, 0.10552611011173996, 0.12652908351109718, 0.13009019965516258, 0.04712392814116114, 0.11409783472431556]"
122,"[0.11222241723398006, 0.09847534033582246, 0.16047993455076573, 0.096972947869819, 0.08370716358050471, 0.10938723726370175, 0.10966180157173878, 0.12717709786943077, 0.11960393312894779, 0.07789451983660499]"
123,"[0.07807080128729947, 0.12746071627082015, 0.10554444931888651, 0.09475115475854405, 0.08391323683564295, 0.09541456996374269, 0.1629369210491548, 0.10449099423706476, 0.1330833738997141, 0.10730915611210622]"
124,"[0.08399430555090448, 0.15843296396284426, 0.07891442739432854, 0.11332949739587285, 0.12774852803754203, 0.1354217363862768, 0.14259001617769393, 0.08817970974357346, 0.09471112236167112, 0.09239724692564423]"
125,"[0.09940527665067621, 0.14191017778645532, 0.08044358794392809, 0.09439075765082743, 0.12777736197312745, 0.056161826716513895, 0.18324434462675096, 0.1201295414732307, 0.08464124695657439, 0.14787987029138355]"
126,"[0.1370936214292936, 0.14669434696082048, 0.09524562428552671, 0.11332720243166464, 0.08869201977965309, 0.08194742550604844, 0.13650491086078054, 0.1013808271022177, 0.07434592812030047, 0.12193355066768173]"
127,"[0.07842513176257428, 0.0891696850539715, 0.1259218857905607, 0.13072058511162207, 0.11047754168423397, 0.1470981920261504, 0.07284108619549691, 0.13818723654759024, 0.13081082129306354, 0.09156311445372908]"
128,"[0.12299866911631399, 0.1130459831723699, 0.06565792583101533, 0.12461741035636296, 0.05946181573679574, 0.09917805206937251, 0.0986594730182706, 0.0908175058975661, 0.16371982486117875, 0.16848781394025647]"
