,roc_auc
207,"[0.7323660254312279, 0.731917211328976, 0.7570951448190861, 0.752692251568656, 0.7412795659057069]"
208,"[0.7395018877116064, 0.7699458044087201, 0.7383060662281442, 0.7286639014580192, 0.742059891107078]"
209,"[0.7335089186176142, 0.7380707468998229, 0.7564602550189907, 0.7257939873715955, 0.7522894762110519]"
210,"[0.7629777607183568, 0.7443140685328185, 0.7488364001414572, 0.7169762044670787, 0.738488403634884]"
211,"[0.72338637510899, 0.7394544398615654, 0.7377904180229762, 0.7678115572058483, 0.7386881346628853]"
212,"[0.7472804305507843, 0.7584992729149076, 0.721993006993007, 0.7143589743589743, 0.7754496947667644]"
213,"[0.7222612318458963, 0.7204435612472706, 0.7793392760483249, 0.7340832542158326, 0.7504576540480796]"
214,"[0.7204826094751468, 0.7642778579369397, 0.6970261941448381, 0.7441085718160857, 0.7928890604529291]"
215,"[0.7542313974907031, 0.7139799215324255, 0.7286345381526105, 0.7551972281449895, 0.7522129765294556]"
216,"[0.7457577514093471, 0.7750932948116046, 0.7233187645687646, 0.7416843807071645, 0.7346713519845024]"
217,"[0.7368279289611789, 0.7480166733898077, 0.7259395380679566, 0.7553020409792595, 0.7492248062015504]"
218,"[0.7533327445092151, 0.7529137730481751, 0.7391045958795562, 0.7466182327558064, 0.7224850204982655]"
219,"[0.7335518534788634, 0.7477550511349463, 0.7517082316528778, 0.7643470506829724, 0.7208066644575827]"
220,"[0.7297568565964674, 0.7409064631749336, 0.7420830676644631, 0.7631461242842095, 0.7442024727410863]"
221,"[0.7298673342282529, 0.773685571250617, 0.7391396500271297, 0.7544969476676453, 0.721013786300867]"
222,"[0.7532669516560664, 0.7520889653477514, 0.7289897299792292, 0.7458702196786791, 0.7241994311143736]"
223,"[0.7255652680652681, 0.7642169254845311, 0.7478251078556868, 0.7314606935617575, 0.743689391218461]"
224,"[0.7634902684364027, 0.7385643001160185, 0.7330470628649948, 0.7304699173604123, 0.7435117354707116]"
225,"[0.7590011517930316, 0.7719416058394161, 0.7013183739063151, 0.735166038121703, 0.7474144997296779]"
226,"[0.7352882540576039, 0.7517436714462737, 0.7459521355776938, 0.7407326231276351, 0.7488858085345311]"
227,"[0.7226269470678417, 0.7525039006929466, 0.7489486724859065, 0.7576968963122563, 0.7351404542526344]"
228,"[0.7440977037158907, 0.7260656178566627, 0.7516810924514639, 0.7642415056208159, 0.7308268459542345]"
229,"[0.7011371862934364, 0.7473456121343446, 0.7342194607423034, 0.7505046566041198, 0.7806395943286387]"
230,"[0.7492177867727452, 0.7647047422863091, 0.7220760441852747, 0.7244705824815376, 0.7488441978733241]"
231,"[0.7463130070724036, 0.7490570889765129, 0.7294189002518952, 0.7545085977911365, 0.7388083707654876]"
232,"[0.7351877017156445, 0.7324252265948012, 0.7492605922388911, 0.7545651183970856, 0.741944927271064]"
233,"[0.7189597215788286, 0.7424029197080292, 0.7224015622509166, 0.7648414919484333, 0.7737395169059285]"
234,"[0.7387219950664009, 0.7574123910028908, 0.732422757446217, 0.7200248756218905, 0.7578674215616891]"
235,"[0.7296394534922863, 0.7334191868202469, 0.741620940234317, 0.7510155419575397, 0.7574370216198575]"
236,"[0.7225604116082784, 0.7554777992277992, 0.7416382871654437, 0.7377117660710142, 0.7593058079564304]"
237,"[0.7504322684071911, 0.7405868613138686, 0.7380906868707932, 0.7264607597424934, 0.7555467019304669]"
238,"[0.7387697276917595, 0.7530297050390611, 0.7563883913802347, 0.71700860936816, 0.7552326983361466]"
239,"[0.7746865695479073, 0.7140836619235384, 0.737364179850882, 0.7486081093779364, 0.7411494978372657]"
240,"[0.7385479170238299, 0.7763599063466086, 0.7520845060512242, 0.7234422139707588, 0.7177834973321112]"
241,"[0.757010110356345, 0.7513115035144865, 0.733111124337837, 0.7505040291693477, 0.7257691537162646]"
242,"[0.7679731982057564, 0.7620496763298621, 0.7572498048584337, 0.7281242610034779, 0.7011798454078448]"
243,"[0.7652982938280086, 0.7113782051282052, 0.766554662684303, 0.744087912087912, 0.7233860315958864]"
244,"[0.7641493799645693, 0.734510981569805, 0.749421898485374, 0.7378879412461502, 0.7247621257832444]"
245,"[0.7361701131669184, 0.7463086352397645, 0.7239055114496811, 0.7516803495126986, 0.7532697976589108]"
246,"[0.7632944921545569, 0.739104871182696, 0.6964464637390734, 0.7582667925932287, 0.7498071520677904]"
247,"[0.7348804949679038, 0.7247759633892946, 0.7339885661029278, 0.7489076766609282, 0.7738081033630491]"
248,"[0.7476017919129374, 0.7425686666900725, 0.7701751824817518, 0.718847127159089, 0.7340793819297005]"
249,"[0.7144822222480178, 0.7413082588407264, 0.7417562286272594, 0.7482041155090008, 0.7639392059553349]"
250,"[0.752417756638922, 0.7563573021181716, 0.7232963503649635, 0.7298859785015166, 0.761645061728395]"
251,"[0.7231686948222382, 0.7472855318004572, 0.7372554744525548, 0.7715498595546122, 0.7335866940892427]"
252,"[0.7315070531515981, 0.7499339057668656, 0.739618948515931, 0.7278426360873169, 0.7669689658041434]"
253,"[0.7480122431747819, 0.7773467614630625, 0.7125447432426231, 0.7535767490232453, 0.7148334176273274]"
254,"[0.7749181596333552, 0.7465384527794858, 0.7553745342263805, 0.707459241683894, 0.7345296205580742]"
255,"[0.7622971617395409, 0.7082909103675876, 0.7681452746387812, 0.7468717948717949, 0.7284615429886356]"
