,r2
97,"[0.19975599789665954, 0.1453442335628441, 0.15387554493083588, 0.13922615017495898, 0.18409559972223433, 0.13406834565484127, 0.14427628548752447, 0.08174333590422045, 0.13529393829659608, 0.22810761426067527]"
98,"[0.18896934244001706, 0.15011354537529575, 0.16905798277106598, 0.1501969181141034, 0.20809627336543823, 0.15401965992087407, 0.08007252808940435, 0.12352971342884311, 0.20669006583590366, 0.12852785995711835]"
99,"[0.13779638226608315, 0.17270250698802958, 0.12908439751591638, 0.16226828066774368, 0.14255282913266376, 0.14162340877511903, 0.21332507460204442, 0.19364780816257987, 0.16371430058475323, 0.0964871958905531]"
100,"[0.1568588857386577, 0.15288657619293733, 0.1629497709539498, 0.10241366229364457, 0.08105304119251067, 0.15919181000521343, 0.2083341325102429, 0.2098989219863313, 0.1736666790886504, 0.14208837705314836]"
101,"[0.18418126946025037, 0.16879547177335663, 0.183316221430332, 0.1864199680352726, 0.09904567076636994, 0.15701196456883737, 0.13288663491376929, 0.12601750709554493, 0.16349910236807963, 0.15590590425426332]"
102,"[0.18986169645150097, 0.11165211409920306, 0.11755016392164386, 0.1586146672146529, 0.20842669736467367, 0.13269402127516572, 0.19919751094131155, 0.10568435483056937, 0.16048403901555608, 0.16840318460767678]"
103,"[0.19409040344300943, 0.20665283059556006, 0.1265181737194303, 0.08818686183994306, 0.11958322724023851, 0.15441480654048578, 0.20670758856462068, 0.13415914167337817, 0.13854851898157416, 0.18096410458005086]"
104,"[0.15483097012687008, 0.14783954500455643, 0.09346108015245358, 0.16443764091073299, 0.17520900015005936, 0.19770964470390995, 0.16041325780262106, 0.15754495885361142, 0.17537484553915428, 0.13543255318861247]"
105,"[0.17362167329334277, 0.16504301591414616, 0.20918953018375386, 0.12543496494190842, 0.1721723057343949, 0.12728085453602178, 0.19447746395994592, 0.062193479608256164, 0.13252479901275283, 0.18897985305009524]"
106,"[0.19722293253867273, 0.16698519311250926, 0.10616670772846293, 0.13187580356673478, 0.1873750244014637, 0.22115302383918933, 0.1219720654410219, 0.16502284751471497, 0.09458154982835254, 0.15459053334952688]"
107,"[0.11692127890860904, 0.177035344555183, 0.21130435309302686, 0.21751922303014293, 0.13230488155758846, 0.12845120664646947, 0.1492292120556451, 0.1663767656414954, 0.10670739795348072, 0.14923576414821726]"
108,"[0.11540863057065753, 0.17021920556664716, 0.13177515585165833, 0.19305057420430372, 0.18337732546170527, 0.13874122997297644, 0.1636227473413795, 0.13082054590446635, 0.13184003096739072, 0.1905779147211707]"
109,"[0.17381884375723433, 0.15862056464994112, 0.13359086421800537, 0.18529753303458973, 0.0914383122527026, 0.1764786763818802, 0.1322991174004169, 0.15764700102427243, 0.15077932742586697, 0.1890679912875951]"
110,"[0.148193001372535, 0.1634697276865693, 0.15448170832596975, 0.1807069873922631, 0.17369266546006323, 0.1428028380801326, 0.16346394915619777, 0.12328435452027653, 0.13975440973920383, 0.17318660708806666]"
111,"[0.22131888320626691, 0.17974121480696947, 0.1289244069046217, 0.19468960704458627, 0.1961080724505384, 0.13387337341683192, 0.1322812509257424, 0.1729666630377915, 0.09879842213416268, 0.08235946883146106]"
112,"[0.16411134081219292, 0.09988850664425764, 0.19116588355749042, 0.25008102203288973, 0.11093163864047051, 0.13388870877545644, 0.15968131187419266, 0.1673715985963813, 0.1531309038139691, 0.1266094987370998]"
113,"[0.13816810656579426, 0.16593221000245773, 0.15403190157268631, 0.13195159542299761, 0.22155082506212387, 0.18819202998401363, 0.16625004913277364, 0.18234330686604816, 0.21568400390292153, -0.014953545210994346]"
114,"[0.19593423059801596, 0.15488911406918893, 0.15273423656107554, 0.19340211489637116, 0.10205718459141855, 0.15826344267967285, 0.16242996661945608, 0.18671578426837443, 0.07827554290510041, 0.16923142082132292]"
115,"[0.14866264201295887, 0.1461464532786475, 0.17070036071709083, 0.18531455630303573, 0.10541229983669953, 0.0986180138941739, 0.16768966778308536, 0.17652031372976873, 0.12295464754511942, 0.2357008557890683]"
116,"[0.12559843619971423, 0.1575821049606293, 0.12447177804478449, 0.12934552303078817, 0.1883013755398295, 0.07986801757525586, 0.208017819164785, 0.18452075009337254, 0.16928064262851328, 0.1822051571303689]"
117,"[0.1701271437288081, 0.21593417526795755, 0.24175568151515314, 0.15869284875672207, 0.1269691841268472, 0.08284523390223264, 0.13274717121646784, 0.1346581527848395, 0.12858685335807485, 0.1606449486262811]"
118,"[0.1743645017314589, 0.08716804967387481, 0.17345814438595852, 0.18008649305124325, 0.15153224946710953, 0.10862752771480477, 0.16958471576511713, 0.23457984581199876, 0.14702888140000858, 0.1271321008436882]"
119,"[0.10358973891830048, 0.1230275280936558, 0.22960662845462354, 0.1917571694621938, 0.16204782117219985, 0.19259391491657252, 0.14951666538177366, 0.17910732535211127, 0.13314598044727777, 0.0966752323893938]"
120,"[0.15469002428558087, 0.1731562866952442, 0.19949184476940307, 0.0700657911242748, 0.14388493071602093, 0.15960309108692372, 0.14817655186867307, 0.16653512203141996, 0.18761619476914182, 0.15629736584568799]"
121,"[0.08044004913297076, 0.1971736374373282, 0.17254367987584796, 0.18331771809073127, 0.1486661214718824, 0.15415591403168194, 0.15707618609459995, 0.10257427270016528, 0.16530481497388938, 0.19612309700436548]"
122,"[0.13355691573609685, 0.21287538388657123, 0.10635406522307345, 0.18445684818170915, 0.12128816367951956, 0.14510177312623918, 0.089462858373621, 0.19221389351064744, 0.191340056705538, 0.1763873266766477]"
123,"[0.14384281643628616, 0.14148484937777028, 0.15767487294843174, 0.11957345622184279, 0.13373750967575593, 0.14656800566176498, 0.17339324374417897, 0.1873959928266743, 0.17331127686176762, 0.1806551243948613]"
124,"[0.19866486859201216, 0.12801785845891278, 0.1964996299230216, 0.18704061542404482, 0.12400228316709005, 0.12162934864115349, 0.12448379425979916, 0.10215193359786257, 0.14138993160281055, 0.22683031712015367]"
125,"[0.2006739838065067, 0.15032398862109364, 0.1371005660203416, 0.14253024685684834, 0.16690395145362502, 0.09878570506850137, 0.17325911704668284, 0.15209948768368242, 0.1855901062961831, 0.15005440992605923]"
126,"[0.2302024601723176, 0.15319282171694526, 0.12480976773695318, 0.14833321585682935, 0.12733263555320118, 0.16515492496739215, 0.10965536975179535, 0.15710974214980078, 0.19538402769517105, 0.14337515920457444]"
127,"[0.17791476744936108, 0.060490036893473764, 0.22445620290526613, 0.20798163790732127, 0.1474352910281499, 0.14321119289293738, 0.13687202122280584, 0.17797775968805085, 0.10257737196534977, 0.17999828159403275]"
128,"[0.07487414110264956, 0.1596330176644486, 0.08429618189517463, 0.13557281231258878, 0.16050030502749102, 0.17299207272305228, 0.18959792134866071, 0.1756152688020317, 0.20521556847029643, 0.19819844292992883]"
129,"[0.11729519002332844, 0.11999044177528229, 0.15840411042316804, 0.19550538010753593, 0.1750818746186894, 0.13298293904817293, 0.1580673962371757, 0.15793471215054566, 0.17818078485116495, 0.1637991253560076]"
130,"[0.17136410065600782, 0.15950079709755371, 0.07677487818851325, 0.10655489151786035, 0.1646169524993213, 0.24489640275622548, 0.20534375365062962, 0.16269208391893886, 0.13980098877200442, 0.12633719792868825]"
131,"[0.11693936688603279, 0.1975723325244334, 0.17970250218870398, 0.19130857645239208, 0.19014584257046263, 0.14727801212163527, 0.08041021606229048, 0.1396103576033404, 0.12805234488704642, 0.18112546825865272]"
132,"[0.17587460300991953, 0.13910303813777358, 0.18203703792855452, 0.15863783196895576, 0.14984058905614617, 0.14219840106161952, 0.10857970573263631, 0.1210585584733751, 0.15640278136553265, 0.21983203162222964]"
