,r2
170,"[0.03669028160489096, 0.03670200903899212, 0.037810594139057185, 0.039656902437684716, 0.041613444700268176]"
171,"[0.03721878067912965, 0.03979280769548621, 0.038725219911911135, 0.03813113965302284, 0.03846103852856253]"
172,"[0.03725428552640686, 0.04095810658452048, 0.03545503611729539, 0.040019470976929705, 0.038570807476398516]"
173,"[0.037108614810193674, 0.036719115431742666, 0.041712542378063655, 0.03865514130891157, 0.03820815214674744]"
174,"[0.0391760096456808, 0.038636590849170926, 0.03831769832906229, 0.036848882918830705, 0.03924340193485831]"
175,"[0.039616703731760516, 0.03725239151598436, 0.03859092363735461, 0.03915111230587076, 0.03801672209588469]"
176,"[0.03662438216637798, 0.04312460783508121, 0.039764329504438756, 0.03848953830653046, 0.03442842615238384]"
177,"[0.038913160939502034, 0.040899580210544406, 0.038670359517849584, 0.03597416590627933, 0.03803249124788488]"
178,"[0.034828079543919976, 0.04025406557693534, 0.039803976641977656, 0.04168529172025692, 0.03554428492815587]"
179,"[0.03764905835925203, 0.03954415645624243, 0.037591149698794846, 0.040644657441976206, 0.03705081961051038]"
180,"[0.03785763081703797, 0.03696183364861616, 0.03766227843843839, 0.04018675497241497, 0.03981576127450648]"
181,"[0.03913409342823859, 0.0380020098670637, 0.036874659068914184, 0.041300032986868684, 0.03714981671748141]"
182,"[0.036994328122136766, 0.03555573114313926, 0.04299753076080648, 0.03750603036455302, 0.03940473958758062]"
183,"[0.04124442920247795, 0.038444811927265565, 0.036047371520931626, 0.03758404981225516, 0.03928389357800299]"
184,"[0.035438201522376866, 0.037430885518076495, 0.039731828318140705, 0.041279257399399194, 0.03833598399688498]"
185,"[0.03847821454963085, 0.042006441425820884, 0.037159619138685485, 0.036449270020939895, 0.038503527100383406]"
186,"[0.039968995454685685, 0.03986793243906517, 0.03637511427734608, 0.041014888427885254, 0.03511767597644022]"
187,"[0.041738909562601956, 0.03665363590373494, 0.036717804859214054, 0.042885719923359655, 0.034095839180618426]"
188,"[0.04121771309164024, 0.03835750577365382, 0.03280824872452126, 0.037288502393426515, 0.042487036620169394]"
189,"[0.039531215420170684, 0.03985386691208648, 0.03434471608612555, 0.03473712895331105, 0.043572184320493035]"
190,"[0.03834343366104709, 0.0390248756052225, 0.03567704896243473, 0.04038173820437807, 0.03894120930613154]"
191,"[0.039018776212455974, 0.03672229227520063, 0.03849813259078383, 0.04344814584488199, 0.034587733541769916]"
192,"[0.039477526402851404, 0.036415182757363995, 0.03817057019613446, 0.040425713758200144, 0.037793659618434616]"
193,"[0.03820198972649891, 0.03982324948849614, 0.039753667457784525, 0.03863067461072145, 0.03588002255022049]"
194,"[0.03772053375086226, 0.03497082221250847, 0.039941760490891265, 0.03995890443503003, 0.03975475813033458]"
195,"[0.042982266054217844, 0.038527886047382554, 0.04033798559013091, 0.03453545190837182, 0.035890457847281954]"
196,"[0.0424108059813848, 0.035642748146192504, 0.04204754114396059, 0.03848000042730637, 0.0333887870859374]"
197,"[0.035336801392107375, 0.0404804468495934, 0.03913431086202923, 0.038016318082492395, 0.039299079807724846]"
