,imv
116,"[0.0945191857085688, 0.1075568078529691, 0.0889562748611699, 0.09292872003966621, 0.1283696252724195, 0.0615371799739158, 0.1377921026730606, 0.12591493467290155, 0.1160429913408415, 0.1241028681445646]"
117,"[0.11434260817023999, 0.1435999414843981, 0.15374918886936606, 0.10897885407162379, 0.09411527274660911, 0.06420492496897928, 0.09312177085476168, 0.0954940778022024, 0.092576191908985, 0.11641383184842495]"
118,"[0.12100793419333025, 0.062294180779509774, 0.1172638286895816, 0.12110352456866474, 0.10947760286625269, 0.08082647087955044, 0.11779381196809682, 0.15061550478009536, 0.10413983383132121, 0.094109913469135]"
119,"[0.07796196057070282, 0.08642098267188236, 0.1495911012713113, 0.12837903280042082, 0.11379346282597123, 0.13137932659592633, 0.10324634452421803, 0.12363542402961279, 0.0954386812841287, 0.07361420719451968]"
120,"[0.10843577573066346, 0.1187307189060164, 0.13201580629446688, 0.0545109493113188, 0.10128469319691827, 0.11342533392302863, 0.10578193786683536, 0.11388492480071762, 0.12734303693029106, 0.10940541052976907]"
121,"[0.06313821517115543, 0.13195193801559196, 0.11770003489922157, 0.12494946484985472, 0.10575335371654178, 0.11038635798779209, 0.10855070494537045, 0.07470148280192188, 0.11511544549239258, 0.13075946936091215]"
122,"[0.09528943704535292, 0.14296125097570678, 0.0743320100865652, 0.12558112911761118, 0.09029554464804154, 0.10264245656628032, 0.06356767020180978, 0.12991193097145493, 0.12878647026362633, 0.12305437585901202]"
123,"[0.10301024240587918, 0.1008795518464729, 0.10986411376418553, 0.08615522547816377, 0.0967765519827208, 0.10348705830608351, 0.12191420107076952, 0.12710716913920805, 0.11737057187835949, 0.1219379290345916]"
124,"[0.13542966894802677, 0.09429126899184663, 0.13075437520990205, 0.12894486148477988, 0.09054540401943778, 0.08799353331591787, 0.08817949244925016, 0.06976204657516834, 0.10008373624669875, 0.14869757025520067]"
125,"[0.13548565869254836, 0.10735535588177066, 0.0963251247304526, 0.09986454581638711, 0.11340737496545934, 0.07419436259187379, 0.11955810333577571, 0.1085100173986875, 0.12417630765503589, 0.10690534841448113]"
126,"[0.151955070136542, 0.10644092748005117, 0.08752846881936757, 0.10496788818213176, 0.09094192525104076, 0.11305420590346262, 0.07904316198540291, 0.11153789074502354, 0.13384359638084686, 0.10176182573233625]"
127,"[0.12059559499573495, 0.0495863870387344, 0.14641456622848806, 0.13760607318370263, 0.10827182039815125, 0.10112881272640098, 0.09777318897574944, 0.1219212952565449, 0.07390249479122134, 0.12205258875282148]"
128,"[0.05519039927370139, 0.11115868149254503, 0.06357587444001438, 0.09770310935066544, 0.11315027437987567, 0.12059988742801572, 0.12830031845001366, 0.11927313976345537, 0.13720533610131536, 0.13290628937157392]"
129,"[0.08584839085382683, 0.08456873534612187, 0.11001499722016034, 0.13176308298342246, 0.12156924832326445, 0.09535164047597558, 0.10992274140914281, 0.11030059386015031, 0.12071422066234407, 0.11662565445392349]"
130,"[0.11774750766337967, 0.11100637914675535, 0.060348785492287095, 0.07656871462606157, 0.11559965655080445, 0.15872756162977034, 0.13717872871280457, 0.11142416133176543, 0.10070654353842802, 0.0893787189335888]"
131,"[0.08412063882025879, 0.13390307602028592, 0.120857670948857, 0.13000791536252113, 0.12927629877285626, 0.10217920279114835, 0.06182473710746943, 0.10200245935543852, 0.09210253387458321, 0.12300298428638926]"
132,"[0.11894868991772004, 0.10187231631340986, 0.12284510719185734, 0.11160127289927005, 0.10612506073713801, 0.10157499589159434, 0.075552397237414, 0.09034354796355726, 0.11012566241532053, 0.1434485002742152]"
