,roc_auc
86,"[0.701232891709905, 0.6968216845206601, 0.7020258939001504, 0.6981379100799247, 0.7046285864966242, 0.6968068166091831, 0.6999047945205604, 0.697334679674547, 0.687483637083798, 0.6972915408982258]"
87,"[0.6896451729116767, 0.7032381076365607, 0.7076288175371587, 0.6967494060416909, 0.7020012472157509, 0.6983508094926335, 0.6984494325487937, 0.6936613203987437, 0.6995212300640369, 0.6924154236602881]"
88,"[0.6973515133282132, 0.7057136807248618, 0.698221333817726, 0.6962600451922767, 0.699948649184642, 0.6969004776417573, 0.7026992854449966, 0.692895511732085, 0.6940174862215436, 0.6973202793200207]"
89,"[0.6976412219605489, 0.695086678698159, 0.6957197611785767, 0.6941822556983326, 0.6948377104131801, 0.6928159559211778, 0.7010670429947677, 0.7048730149613046, 0.7036607980823226, 0.7014546473552222]"
90,"[0.7031339641589177, 0.7023534464744927, 0.6993320008537041, 0.6969096526185803, 0.6969536979551142, 0.7018790170940395, 0.7034841159587051, 0.690675898252022, 0.6881007411024975, 0.6987506107368778]"
91,"[0.7039650736007471, 0.6982675401087222, 0.7011045146715097, 0.6934977415937553, 0.6948152473823442, 0.6913025795858191, 0.7038219058278199, 0.6917032595855265, 0.6975279471160721, 0.705623648640204]"
92,"[0.6961529462916196, 0.6996457659938006, 0.6960457611343769, 0.6964641146545055, 0.6993912682076983, 0.7003128562680727, 0.6983695317115438, 0.6960623405581063, 0.702439528692789, 0.696645489550114]"
93,"[0.7048102746447822, 0.6933832836443948, 0.6980562886507816, 0.6997650679314195, 0.6945834169189914, 0.6931989578606434, 0.6942175981993548, 0.7035261410752063, 0.6938091326635307, 0.7059515609359178]"
94,"[0.6925597965608463, 0.7025202848704549, 0.6829897237172506, 0.6998162816442044, 0.7068100473269002, 0.6936519229707263, 0.6985964137707713, 0.7002517185081155, 0.7024351325498849, 0.7017012764219088]"
95,"[0.7062918903973339, 0.6955462583264163, 0.698218882314765, 0.6990619723423616, 0.6978531135331517, 0.6976102376870131, 0.6965859089534681, 0.6993696041852349, 0.6984096326321401, 0.6924318183667798]"
96,"[0.6961040297279055, 0.6934008345896681, 0.6913300227995222, 0.7035236487138625, 0.7034923920511087, 0.6997645821706475, 0.7099333937541045, 0.6904200702985726, 0.6953033080648368, 0.6985925085437765]"
