,roc_auc
186,"[0.7004037330739549, 0.7028046980603068, 0.6939818204598265, 0.7027588813623571, 0.6906427114951832]"
187,"[0.7039096837676099, 0.6969462897695817, 0.6956713814082042, 0.6998617102177948, 0.6942201983779337]"
188,"[0.6992357786582947, 0.6960106949024459, 0.6950608350552033, 0.6976501184493151, 0.7024321489957209]"
189,"[0.7007668181103215, 0.6975249284418676, 0.6937463859453226, 0.6943352818753727, 0.7041102699426567]"
190,"[0.7010170022571631, 0.6988757166882108, 0.6980493559655068, 0.6955043868611572, 0.6970002804495895]"
191,"[0.7012560093044764, 0.6939348342330923, 0.695657494297709, 0.705411078525944, 0.6942942026933002]"
192,"[0.6980367650820031, 0.6924534241818239, 0.7026403813115777, 0.7005531157301683, 0.6967727222660323]"
193,"[0.6981594725662097, 0.6993123254647, 0.7043791172933822, 0.6936294933056573, 0.6950506857038492]"
194,"[0.697226698513765, 0.6943337565750783, 0.6978122075274553, 0.7008847484494799, 0.7001812722079209]"
195,"[0.6979301118130792, 0.6970424032711128, 0.7052028511778821, 0.6933754976036728, 0.6970309595689616]"
196,"[0.7033157036493649, 0.6955363085168451, 0.7030631288570606, 0.6955037093092751, 0.6927582801080725]"
197,"[0.7001790384430326, 0.6976174034328207, 0.6954758934643656, 0.6959027941340414, 0.7004503147325036]"
198,"[0.6949155651802037, 0.7020608539213126, 0.6956881243066455, 0.6985555212032785, 0.6998261149644376]"
199,"[0.69828132439893, 0.6985705042013206, 0.7021924758522333, 0.6979957648548569, 0.6935850733080765]"
200,"[0.6948070887754737, 0.698662890515702, 0.7053974845001112, 0.6920062330715884, 0.6997142380041149]"
201,"[0.7064971694737359, 0.6917149324307441, 0.7006512344031367, 0.6940367587906418, 0.6984174977713278]"
202,"[0.7001173316728089, 0.6935123688961051, 0.6990336444265016, 0.7018429971390965, 0.6958166991911783]"
203,"[0.6988956568928844, 0.6970859094009967, 0.6958240448257517, 0.7016339794027456, 0.6963598646587017]"
204,"[0.7005158548713089, 0.7003590688852928, 0.6932567950101541, 0.6982359071217822, 0.6986417808233529]"
205,"[0.6976987942515711, 0.6980568037777471, 0.6979554472584677, 0.6980525312579714, 0.6987881078053988]"
206,"[0.699815339683207, 0.6962799349633864, 0.6954437629056668, 0.69521382308761, 0.7042273396062039]"
207,"[0.6945172757282387, 0.6948909663800288, 0.7026009028209843, 0.7010551806874633, 0.6972728121926808]"
208,"[0.6978099359069235, 0.6971957497298316, 0.7015986135010036, 0.6977511168378533, 0.6961057836555752]"
209,"[0.703001663758845, 0.6985881254632367, 0.7025391077777154, 0.6934866722460484, 0.6933512864225322]"
210,"[0.7011606104616745, 0.6947652837675267, 0.6987513795592717, 0.697787268395502, 0.6981117691830746]"
211,"[0.7058037873248573, 0.6969879148765677, 0.6875961571369955, 0.6974136818233457, 0.703013094647644]"
212,"[0.7004704909627523, 0.688739220505618, 0.7005581420343157, 0.7011636989496433, 0.699601231732034]"
213,"[0.6973732447762813, 0.6943994446567892, 0.6949548881157439, 0.7023478869451556, 0.7014042827711353]"
214,"[0.6898965548634616, 0.7020897180950958, 0.6989571117042847, 0.7034815187612009, 0.6961115927062345]"
