,roc_auc
88,"[0.6690993171559058, 0.6753995285428175, 0.6725490808779483, 0.671143132441525, 0.681198174232686, 0.6805631889023983, 0.6748719060387678, 0.6745989632398837, 0.6730734065895034, 0.6680203536309897]"
89,"[0.672590918349064, 0.669207422634902, 0.6757167818915136, 0.6753612105572666, 0.67561308068003, 0.6671281460117877, 0.6768290500859306, 0.6676080415558255, 0.6822164534905475, 0.6774116130693967]"
90,"[0.681960972118412, 0.6710266518065053, 0.6841950436891638, 0.6717147696125437, 0.668832619291381, 0.6721842579005161, 0.6774102412807557, 0.6749914178796181, 0.6768630268831826, 0.6614231073047402]"
91,"[0.6833700433141386, 0.6677301099246776, 0.6710685324238101, 0.6714365090615371, 0.6740333127515554, 0.6700542667560124, 0.6693971001481881, 0.6734587730911535, 0.6853164916311248, 0.6741686478360795]"
92,"[0.6699987393862892, 0.673485232113435, 0.6765920194967855, 0.6733696047259233, 0.6727893760047536, 0.6861567713467395, 0.6670179734615211, 0.6712416298134157, 0.6745220410613286, 0.6757516780642678]"
93,"[0.6777175256596666, 0.6798161153417838, 0.6828078806691691, 0.6708488197874821, 0.6725832817809944, 0.673744960310133, 0.6789238036044762, 0.6670578183821936, 0.6710639920463992, 0.6651728539178564]"
94,"[0.679971192959896, 0.6745410535949624, 0.6774111617156812, 0.6589846874348108, 0.6702491648517854, 0.6780423211763862, 0.6738236487699358, 0.6717211727556317, 0.6805254719824989, 0.6743155723088055]"
95,"[0.6677472022931663, 0.6666543816033065, 0.6845408199953519, 0.6809196718390166, 0.6706858924624771, 0.6759994433510502, 0.6663729130715051, 0.6724334938923436, 0.6857548742633728, 0.6694568389244494]"
96,"[0.6767440891738458, 0.6757092722159245, 0.6823200775797843, 0.6822388853072785, 0.6683755558262635, 0.6634119244148657, 0.6705429772076013, 0.673532834610172, 0.6764720435986392, 0.6705808962803709]"
97,"[0.672559434734341, 0.6761037223124631, 0.6689674403940103, 0.6745477119032081, 0.6726707470908291, 0.6647998455918682, 0.6762945898109829, 0.6728052006967992, 0.6777920002825119, 0.683718766121375]"
98,"[0.6721596065449501, 0.6764913159865832, 0.6789453600684455, 0.6735678154931514, 0.6666211295120426, 0.6794116297896177, 0.6717488559861601, 0.6733690432587217, 0.6717812440405145, 0.6762410690355515]"
